49,21,0,3
17,49,0,5
17,37,0,5
17,15,0,5
17,18,0,3
17,5,0.5,1
17,47,0,5
17,20,0.5,5
17,27,0,5
17,6,0.5,5
17,26,0.5,5
17,7,0,5
17,44,0,5
17,45,0,5
17,39,0.5,5
17,41,0,3
17,50,0.5,5
17,40,0,5
17,51,0,5
17,57,0.5,5
17,11,0,5
17,21,0,5
17,38,0,5
17,12,0,3
17,34,0,5
17,30,0,5
17,52,0,3
17,16,0,5
17,28,0,3
17,22,0,5
17,0,0,5
17,10,0,1
17,14,0,5
17,25,0,5
17,42,0.5,5
17,58,0.5,5
17,13,0,5
17,35,0,5
17,56,0.5,5
17,32,0,5
17,24,0,1
17,3,0,1
17,70,0.5,5
17,61,0,5
17,69,0,5
17,71,0.5,5
17,72,0,5
37,21,0,1
15,21,0,1
18,21,0,3
9,49,0,5
9,17,0,3
9,37,0,5
9,15,0,5
9,18,0,3
9,5,0.5,3
9,47,0,5
9,20,0.5,5
9,27,0,5
9,6,0.5,5
9,26,0.5,5
9,7,0,5
9,44,0,3
9,23,0,1
9,45,0,5
9,39,0.5,1
9,41,0,3
9,50,0.5,5
9,40,0,1
9,51,0,5
9,57,0.5,5
9,11,0,5
9,21,0,5
9,38,0,5
9,12,0,5
9,34,0,5
9,30,0,5
9,52,0,3
9,16,0,3
9,28,0,3
9,22,0,5
9,0,0,5
9,10,0,3
9,14,0,3
9,25,0,3
9,42,0.5,5
9,58,0.5,3
9,13,0,5
9,35,0,5
9,56,0.5,5
9,32,0,3
9,24,0,3
9,3,0,3
9,70,0.5,1
9,61,0,5
9,69,0,1
9,71,0.5,1
9,72,0,1
5,49,0.5,5
5,17,0.5,5
5,37,0.5,5
5,15,0.5,5
5,18,0.5,5
5,47,0.5,5
5,20,1,5
5,27,0.5,5
5,6,1,5
5,26,1,5
5,7,0.5,5
5,44,0.5,5
5,45,0.5,5
5,39,1,5
5,41,0.5,3
5,50,1,5
5,40,0.5,5
5,51,0.5,5
5,57,1,5
5,11,0.5,5
5,21,0.5,5
5,38,0.5,5
5,12,0.5,5
5,34,0.5,5
5,30,0.5,5
5,52,0.5,5
5,16,0.5,5
5,28,0.5,3
5,22,0.5,5
5,0,0.5,5
5,10,0.5,1
5,14,0.5,5
5,25,0.5,5
5,42,1,5
5,58,1,5
5,13,0.5,5
5,35,0.5,5
5,56,1,5
5,32,0.5,5
5,24,0.5,1
5,3,0.5,1
5,70,1,5
5,61,0.5,5
5,69,0.5,5
5,71,1,5
5,72,0.5,5
19,49,0,5
19,17,0,3
19,37,0,5
19,15,0,5
