,ATS2e,AATS1m,AATS2m,AATS0v,AATS1v,AATS1e,AATS0p,AATS0i,ATSC0c,ATSC1c,ATSC1m,ATSC1v,ATSC3p,AATSC0c,AATSC0m,AATSC0p,MATS1s,GATS1v,GATS2e,GATS6p,Mv,Mpe,Mp,fragC,TpiPC,topoRadius,TopoPSA,WTPT-3,WTPT-4,PubchemFP18
153,0.4698791126351921,-0.1948812805574241,-0.23684417398798968,-0.12099958635817878,-0.17123115601205338,0.028519862277725714,-0.09851307924190418,0.053970429204368474,-0.1590995858925138,0.1579676029004875,-0.09977619666326659,-0.4660557999582622,0.8770654511085479,-0.10709008273693862,-0.1647428020577291,-0.07250600570464825,0.9126125219281942,-0.06277742270483587,1.2094998116982165,0.6494531047416351,-0.2143106059157804,-0.19444499289978937,-0.14693775790050376,-0.11104705167208156,1.0127941858720395,0.8584458155219402,0.5606433207843178,0.6619564117839533,0.46548287236779673,0.4241393401869012
24,0.003806557622160219,-0.24000591651935166,-0.3427081989465563,-0.1835149088934975,-0.5177422373391555,-0.11565077449029945,-0.10071244537286927,0.43127458440556066,-0.16038526144799406,0.15881276660758484,-0.13502179542348486,-1.6222285314564098,-0.7445674636197787,-0.10723906003098238,-0.18819625532529802,-0.07306469353037978,0.5122886022612602,1.2393663282986898,4.353447749115139,2.6297847403558032,-0.5265597359688581,-0.5770902488234437,-0.18683551759693856,-0.23587883739991009,-0.39504826338866805,-0.2417462354056038,-0.8071805086975765,-0.15999650786886813,-0.9035671135315434,-2.3577157439801275
201,-1.068537020509302,1.848109370374293,-0.560068558301715,0.6378354542641218,1.7373971778196629,0.29349234115471073,0.07925528104628311,-1.6682614144435297,0.12209872823627303,-0.021654735323007327,-0.8922204839310527,-0.14005343863704528,0.4338056996578452,0.9664304209850223,2.026410368059244,0.042965977975504055,0.7295381299523275,-0.6987466146631546,-1.9221337067160411,-1.3972065625744374,2.14744716120182,0.16048069880939375,0.9436465638515703,-0.33974967490078817,-2.069715049628522,-1.0668902736012618,-0.5496759943694863,-0.7156784011578577,-0.6564693966055754,0.4241393401869012
75,-0.14131074593124887,-0.24337527989956093,-0.3327267636041625,-0.173128261898274,-0.37410958397363075,-0.11442235979641673,-0.10042670593406405,0.18496327048529537,-0.16007265645665342,0.1581553144189956,-0.26982121611422777,0.09169051280426296,-0.2510023249471015,-0.10714005701672845,-0.17954145186789455,-0.07275991029832266,0.14874820474973607,0.589050886903057,0.29875322428067586,0.5203957831283852,-0.48321897882956955,-0.4980415795940225,-0.18445295251953847,-0.2463593115133853,-0.4875376768220409,-0.5167942481374898,-0.2138005408980643,-0.6219727447890584,-0.3033202837442791,0.4241393401869012
193,0.9633284153435985,-0.24403040547120014,-0.3585513415966936,-0.15949683607403708,-0.29707414315537967,-0.28411998491743645,-0.09938917154336943,0.07550507310606341,-0.16037801297323548,0.158235463313893,-0.2518479490342504,0.08790448413218976,0.38868913800268556,-0.10732172268479975,-0.1907963960389285,-0.07244724145484117,0.6677969057950093,0.42408228603930975,-0.6458633936858577,0.5377856184127344,-0.4324216314830839,-0.6416976380343007,-0.1659291643332197,-0.11146211995380335,0.3072050635060819,1.6835898537175982,-0.16303315913772862,-0.6322562203343995,-0.6092628613615615,0.4241393401869012
73,0.3602522498521345,-0.22587142191696463,-0.2959766632031219,-0.1670756057641048,-0.3767683892549141,-0.008999476081193829,-0.1004097925680192,0.1906806774851924,-0.15949422659390688,0.15771920762888783,-0.1552045834005026,-0.8224587364468554,0.5435216349928257,-0.10712778889595517,-0.1708606379845536,-0.07280127295648588,0.005656715786908303,0.7284004180399669,1.0896440301379242,0.8890097693063013,-0.4449942853253107,-0.3782550962187826,-0.18354573714367695,-0.18389153511425582,-0.03510187909734364,0.3083497900581682,-0.06979876601893739,0.085999322781295,0.497927249847044,0.4241393401869012
81,0.46811750934686136,-0.16005069385464993,-0.1526751081022043,-0.09961598104689123,-0.11301486700595369,0.08257805419440381,-0.09457678981065748,-0.12294243592094624,-0.15890939599919895,0.15718393629164223,-0.6303516891391322,-1.060314308251825,-0.958407876822452,-0.10706772073371965,-0.025431134562955773,-0.06891867722311229,0.8129836362465133,-0.09680089401701149,0.08993076018335772,0.4864014419686908,-0.14431327416762368,-0.11520156262086818,-0.11058778961604201,-0.11073575046079022,0.46256718678932285,0.3083497900581682,2.775104931257969,1.4297273451567658,1.1261818274900586,0.4241393401869012
133,-1.0672576200045176,1.9015970013237475,0.20044257850574487,14.292611869276765,7.38751757464212,-1.956934919385602,13.347419581148394,-2.1632618228399574,0.07942909249116804,0.007438993425110248,-1.5320600138644564,-10.554310436660128,0.4338056996578452,0.5006531549539953,12.981456822896678,14.891121224089815,-3.651410413114849,-1.458995617536733,0.3686143698400036,-1.3972065625744374,9.510499306569736,-1.4584136384914004,9.258344223345436,-0.33974967490078817,-2.069715049628522,-1.0668902736012618,-0.6043040135260451,-0.7156784011578577,-0.6564693966055754,0.4241393401869012
12,-0.9780950357347088,-0.33985407856727845,-0.5543005840385847,-0.30086365348566,-1.2423875885438627,0.41109460503676654,-0.10660484298108382,1.4968230131487261,-0.16071421343936648,0.15831488320830786,-0.302897168024382,-0.006341907932412317,0.4338056996578452,-0.10668907773912928,-0.19976446638276943,-0.07615023750702958,0.7295381299523275,3.2096387059393936,-1.9221337067160411,-1.3972065625744374,-1.0421052001312554,-0.5529075966560383,-0.28867097729043545,-0.3502301490142634,-2.4588303143387877,-1.3419382863331477,-0.994807486154026,-1.0431769722172082,-0.9035671135315434,-2.3577157439801275
199,0.6778498198677436,-0.2020148796991842,-0.2375425524828053,-0.14428870735515387,-0.24935225447449053,0.12071797467780208,-0.09983665738503063,0.2236911626073371,-0.1580973198603712,0.15683666206557095,-0.22467386845251627,0.07916850076435233,0.8375981317519365,-0.10697935046394143,-0.15839833900279432,-0.07283793683404856,0.35748655591631356,0.08673035884617954,0.2431381017042226,0.8705065594360609,-0.3147409391507688,-0.13135318381576694,-0.17060956460877602,-0.10046281048817592,0.6573715113105695,0.5833978027900542,1.3513018595308377,1.1974405723779546,0.9326779881107756,0.4241393401869012
